,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,aa784b6564cb56a3,True,1.0,1.0,0.9853514745208238,1.0,1.0,1.0,0.9938964477170099
1,70ee383e3b335c16,True,1.0,1.0,0.68424488893674,1.0,1.0,1.0,0.8684353703903084
2,f30a714dd2af598d,True,1.0,1.0,0.9146278205436374,1.0,1.0,1.0,0.9644282585598489
3,6b8791b769f05a76,True,1.0,1.0,0.8720913673438923,1.0,1.0,1.0,0.9467047363932884
4,8ec0cd02d7705766,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,3a36b098acee53b9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,066c0c3f45915cba,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,d9fac9fdd2bd5036,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,28f70bd9ad9f52b2,True,1.0,1.0,0.660041406623021,1.0,1.0,1.0,0.8583505860929255
9,c6a199989fe9578f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,58857855de47556e,True,1.0,1.0,0.6362106129226288,1.0,1.0,1.0,0.848421088717762
11,803569f800575929,True,1.0,1.0,0.8063433699838457,1.0,1.0,1.0,0.9193097374932689
12,39130d1d9c3455e7,True,1.0,1.0,0.7998806754298491,1.0,1.0,1.0,0.9166169480957705
13,78e6ea95b854551c,True,1.0,1.0,0.7182829149450228,1.0,1.0,1.0,0.8826178812270928
14,24ae3c9d96485b98,True,1.0,1.0,0.6602568890629702,1.0,1.0,1.0,0.8584403704429042
15,471f7ca3148659cd,True,1.0,1.0,0.9812711744823718,1.0,1.0,1.0,0.9921963227009881
16,077780f7790b584c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,d801a39fb8455204,True,1.0,1.0,0.9312176015295106,1.0,1.0,1.0,0.9713406673039628
18,4a6671190875522e,True,1.0,1.0,0.8147143865541641,1.0,1.0,1.0,0.922797661064235
19,d6a0e6c1f41856ba,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,bd1e5e7e9c975f54,True,1.0,1.0,0.8607196553484816,1.0,1.0,1.0,0.9419665230618673
21,e135dfbd00cc5b11,True,1.0,1.0,0.7522447646545571,1.0,1.0,1.0,0.8967686519393988
22,0715626fc800527e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,d69b6aacdd0459e3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,aa9a9fdb89275acb,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,762599cde95156ff,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,76dd2e9ad6f753b8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,9632a1ccd0225e0d,True,1.0,1.0,0.6442205626533688,1.0,1.0,1.0,0.851758567772237
28,fc4ab990e1dc5729,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,a7995c1f914c5d0d,True,1.0,1.0,0.8177963015274552,1.0,1.0,1.0,0.9240817923031063
30,cf8a7ca3e5d95343,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,7fef65fc1de658d6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,1c4f3c5e6d2757a1,True,1.0,1.0,0.857459525564861,1.0,1.0,1.0,0.9406081356520254
33,355dadd64723531e,True,1.0,1.0,0.9396319886920035,1.0,1.0,1.0,0.9748466619550014
34,3265e31c65705a5f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,d1c281e277d1532d,True,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334
36,7b2d768bf14b5767,True,1.0,1.0,0.576510858165298,1.0,1.0,1.0,0.8235461909022076
37,200da70adf745073,True,1.0,1.0,0.9123799199972554,1.0,1.0,1.0,0.9634916333321897
38,7cdcc814be255d9f,True,1.0,1.0,0.9810316441156681,1.0,1.0,1.0,0.9920965183815283
39,72b0239d79175353,True,1.0,1.0,0.8291920867161487,1.0,1.0,1.0,0.9288300361317287
40,3e0da2d159655124,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,4e1e5dfc07e459cd,True,1.0,1.0,0.8462700337832771,1.0,1.0,1.0,0.9359458474096988
42,88ea59b3f0235e02,True,1.0,1.0,0.6152867958898093,1.0,1.0,1.0,0.8397028316207539
43,d84f5656f4f753e4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,20f4b98587d25c47,True,1.0,1.0,0.9242476939381353,1.0,1.0,0.5,0.9684365391408898
45,e579b642c3845df8,True,1.0,1.0,0.9233822946157733,1.0,1.0,1.0,0.9680759560899056
46,5d57c054b8155bd3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,2533671fb5a05c8f,True,1.0,1.0,0.6840149419684757,1.0,1.0,1.0,0.8683395591535316
48,614792f42a2153a0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,a15ea164cfe85b2b,True,1.0,1.0,0.8078357092651474,1.0,1.0,1.0,0.9199315455271447
50,b772d3f5334b52bb,True,1.0,1.0,0.7291060266192367,1.0,1.0,1.0,0.8871275110913487
51,7c258cb6d64e5125,True,1.0,1.0,0.8608000154426451,1.0,1.0,1.0,0.9420000064344354
52,a64cd79798845d53,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,43b5a9e3bd355d96,True,1.0,1.0,0.6995284143524544,1.0,1.0,1.0,0.8748035059801893
54,710c63523d4d5e05,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,379b9337542359bd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,854521fe3b945040,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,cebac405bc31584f,True,1.0,1.0,0.6291197249302534,1.0,1.0,1.0,0.8454665520542722
58,b9f85e394ac95269,True,1.0,1.0,0.8092425340915826,1.0,1.0,1.0,0.9205177225381593
59,84358d0871db53dc,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,7810122d0b665743,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,b386ea967bea597c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,47fc4cd82c45583c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,1fa7d30105dd5ebd,True,1.0,1.0,0.5268085868362758,1.0,1.0,1.0,0.8028369111817817
64,b29743e5885f5514,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
